Model,Repeat_Count,CV_F1_Mean,CV_F1_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std
LogReg_TFIDF,10,0.751027439046571,0.02170615141650163,0.8701986754966887,0.020988722867999493,0.49330520749164364,0.06495795034871875,0.6684210526315789,0.1382518477533021,0.5616280399816985,0.07001168432721319,0.8931419457735247,0.03269375393085527
LinearSVM_WordCharTFIDF,10,0.7532663371974522,0.019497099836100897,0.8894039735099337,0.016236799601265596,0.5692787713375949,0.07685897872007494,0.5263157894736842,0.110957110883101,0.5417760494326991,0.07636716968046678,0.9008771929824562,0.03566702753265098
ComplementNB_TFIDF,10,0.7290408578030606,0.016015409814371738,0.8509933774834437,0.03277978455831675,0.4471810908271355,0.06714646159841817,0.5578947368421052,0.13858538707460705,0.4829228569072783,0.05406136483905269,0.831658692185008,0.035889499019889755
GaussianNB_TFIDF,10,0.6420255481169705,0.024379249401348387,0.7576158940397352,0.04898474145087915,0.2821995075372345,0.05388365158542375,0.5842105263157895,0.18968474274772645,0.37329883881826953,0.07115621559700844,0.7363237639553428,0.07760600911154628
