Model,Best_CV_F1,Best_Params,Accuracy,Precision,Recall,F1,AUC,Repeat
GaussianNB_TFIDF,0.6894123521593419,"{""clf__var_smoothing"": 0.01, ""vect__max_df"": 0.9, ""vect__max_features"": 2000, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 2], ""vect__sublinear_tf"": true}",0.7417218543046358,0.2222222222222222,0.42105263157894735,0.2909090909090909,0.7145135566188198,5
LogReg_TFIDF,0.7668753210431206,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8543046357615894,0.43478260869565216,0.5263157894736842,0.47619047619047616,0.8755980861244019,5
LinearSVM_WordCharTFIDF,0.7783402583685589,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 1, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 1, ""features__word__ngram_range"": [1, 1], ""features__word__sublinear_tf"": true}",0.8940397350993378,0.5882352941176471,0.5263157894736842,0.5555555555555555,0.9118819776714512,5
ComplementNB_TFIDF,0.7424428350136761,"{""clf__alpha"": 0.5, ""clf__norm"": true, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8675496688741722,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.8596491228070176,5
GaussianNB_TFIDF,0.6169702407287169,"{""clf__var_smoothing"": 0.1, ""vect__max_df"": 0.9, ""vect__max_features"": 1000, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__sublinear_tf"": true}",0.7218543046357616,0.2982456140350877,0.8947368421052632,0.44736842105263164,0.8502791068580542,6
LogReg_TFIDF,0.7396166287508942,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8741721854304636,0.5,0.5789473684210527,0.5365853658536586,0.8907496012759171,6
LinearSVM_WordCharTFIDF,0.7493658111486674,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [4, 6], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 1], ""features__word__sublinear_tf"": true}",0.8675496688741722,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.9146730462519936,6
ComplementNB_TFIDF,0.738449334696137,"{""clf__alpha"": 0.1, ""clf__norm"": true, ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8609271523178808,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.8369218500797448,6
GaussianNB_TFIDF,0.6370831827886506,"{""clf__var_smoothing"": 0.01, ""vect__max_df"": 0.9, ""vect__max_features"": 1000, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 2], ""vect__sublinear_tf"": true}",0.8013245033112583,0.3333333333333333,0.5789473684210527,0.4230769230769231,0.7440191387559808,7
LogReg_TFIDF,0.7362511970297523,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8741721854304636,0.5,0.5789473684210527,0.5365853658536586,0.8728070175438596,7
LinearSVM_WordCharTFIDF,0.7677121751118076,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 1, ""features__word__ngram_range"": [1, 1], ""features__word__sublinear_tf"": true}",0.8940397350993378,0.6,0.47368421052631576,0.5294117647058824,0.8947368421052632,7
ComplementNB_TFIDF,0.7315346833034907,"{""clf__alpha"": 0.5, ""clf__norm"": false, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8079470198675497,0.35294117647058826,0.631578947368421,0.45283018867924524,0.8333333333333334,7
GaussianNB_TFIDF,0.6334068615522779,"{""clf__var_smoothing"": 0.01, ""vect__max_df"": 0.9, ""vect__max_features"": 2000, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 2], ""vect__sublinear_tf"": true}",0.7748344370860927,0.2857142857142857,0.5263157894736842,0.37037037037037035,0.694377990430622,8
LogReg_TFIDF,0.7559393792170214,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8410596026490066,0.4,0.5263157894736842,0.45454545454545453,0.8253588516746411,8
LinearSVM_WordCharTFIDF,0.7384285636173907,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 1], ""features__word__sublinear_tf"": true}",0.8874172185430463,0.5555555555555556,0.5263157894736842,0.5405405405405405,0.863237639553429,8
ComplementNB_TFIDF,0.7319324803991148,"{""clf__alpha"": 0.1, ""clf__norm"": true, ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8344370860927153,0.4,0.631578947368421,0.4897959183673469,0.8090111642743222,8
GaussianNB_TFIDF,0.6731456682325776,"{""clf__var_smoothing"": 0.01, ""vect__max_df"": 0.9, ""vect__max_features"": 2000, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 2], ""vect__sublinear_tf"": true}",0.8145695364238411,0.32,0.42105263157894735,0.3636363636363636,0.6395534290271132,9
LogReg_TFIDF,0.7500366083069482,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8940397350993378,0.5882352941176471,0.5263157894736842,0.5555555555555555,0.8943381180223285,9
LinearSVM_WordCharTFIDF,0.7488553475416208,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 1], ""features__word__sublinear_tf"": true}",0.8940397350993378,0.6,0.47368421052631576,0.5294117647058824,0.8700159489633172,9
ComplementNB_TFIDF,0.7418122037729882,"{""clf__alpha"": 0.5, ""clf__norm"": true, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8741721854304636,0.5,0.42105263157894735,0.45714285714285713,0.8273524720893142,9
GaussianNB_TFIDF,0.6347243131956507,"{""clf__var_smoothing"": 0.1, ""vect__max_df"": 0.9, ""vect__max_features"": 1000, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__sublinear_tf"": true}",0.6622516556291391,0.22413793103448276,0.6842105263157895,0.33766233766233766,0.7350478468899522,10
LogReg_TFIDF,0.7529781352384018,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 2], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.847682119205298,0.43333333333333335,0.6842105263157895,0.5306122448979592,0.8791866028708134,10
LinearSVM_WordCharTFIDF,0.7748396195791497,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 1, ""features__word__ngram_range"": [1, 1], ""features__word__sublinear_tf"": true}",0.8807947019867549,0.5384615384615384,0.3684210526315789,0.4375,0.8472886762360446,10
ComplementNB_TFIDF,0.7393502865724221,"{""clf__alpha"": 0.5, ""clf__norm"": true, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8807947019867549,0.5294117647058824,0.47368421052631576,0.5,0.7456140350877193,10
