Model,Repeat_Count,CV_F1_Mean,CV_F1_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std
LinearSVM_WordCharTFIDF,5,0.7578294663772812,0.02869759791568022,0.9059602649006623,0.018376737649684227,0.6341341991341991,0.10358628725399405,0.6526315789473685,0.028827503026587684,0.6386657011687875,0.04269129711068564,0.9189792663476875,0.026376735766359932
LogReg_TFIDF,5,0.7596092111653006,0.021762348919422633,0.8701986754966887,0.028330131968486674,0.5029885057471264,0.08954771780474097,0.6842105263157895,0.07443229275647867,0.5734160756501183,0.05239284866079527,0.9187400318979266,0.008913066413290576
ComplementNB_TFIDF,5,0.7422012514190779,0.02085029254466976,0.852980132450331,0.04452380480522282,0.4574814814814815,0.09023304684806017,0.6842105263157895,0.10526315789473682,0.5439771917320029,0.0881951884468737,0.8803827751196172,0.02584796333072242
